Country,q#3,q#4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14,q#15,q#16,population,median_age,# of people aged 65 older,# of people aged 70 older,economic performance,death rates due to heart disease,diabetes prevalence,#of female smokers,#of male smokers,handwashing facilities,hospital beds per thousand people,life expectancy,human development index
Afghanistan,57612.0,2535.0,0.5,1.53,1.0281510416666655,0.07752985022735175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,120000.0,38928341.0,18.6,2.581,1.337,1803.987,597.029,9.59,0.0,0.0,37.746,0.5,64.83,0.511
Africa,4408953.0,117366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9859835.0,4566450.0,14733874.0,1340598113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,129307.0,2337.0,0.7,1.66,1.0568123393316189,0.03053174354341588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4562.0,1398.8491484184915,1607994.700184414,574935.0,0.032,0.409,0.19005527638190958,0.006607795443153626,2.4,31.6,6.959045226130654,24.717511690322258,6073.0,655.0,314622.0,2877800.0,38.0,13.188,8.643,11803.431,304.195,10.08,7.1,51.2,0.0,2.89,78.57,0.795
Algeria,119323.0,3148.0,0.73,1.99,1.0382097186700774,0.05686231689677843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,43851043.0,29.1,6.211,3.857,13913.839,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
Andorra,12712.0,123.0,0.09,1.69,0.9529487179487167,0.1703693142392662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173789.0,0.064,0.157,0.09128712871287127,0.00045125999999999993,6.4,15.6,11.252475247524753,5.5252750000000015,9781.0,4484.0,19064.0,77265.0,0.0,0.0,0.0,0.0,109.135,7.97,29.0,37.8,0.0,0.0,83.73,0.868
Angola,24122.0,560.0,0.86,1.32,1.068548387096775,0.016105359181407815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245442.0,0.0,245442.0,32866268.0,16.8,2.405,1.362,5819.495,276.045,3.94,0.0,0.0,26.664,0.0,61.15,0.581
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5835.0,0.0,5835.0,15002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88,0.0
Antigua and Barbuda,1213.0,31.0,0.34,1.32,0.7625870646766172,0.07697804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27032.0,0.0,27032.0,97928.0,32.1,6.933,4.631,21490.943,191.511,13.17,0.0,0.0,0.0,3.8,77.02,0.778
Argentina,2658628.0,59084.0,0.86,2.17,1.1367346938775507,0.042490920389060764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62161.0,18487.245939675173,191873998.4379719,7968004.0,0.012,0.439,0.2175680751173707,0.012473108894117646,2.3,83.3,7.502582159624418,109.89921406228375,5305604.0,787412.0,6093016.0,45195777.0,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,0.0,5.0,76.67,0.845
Armenia,207103.0,3835.0,0.64,1.6,1.0821628498727738,0.05857958597980009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,6354.0,2715.6433566433566,2013545.2347252532,920423.0,0.049,0.504,0.20418387909319893,0.013596705151260076,2.0,20.4,7.079345088161212,21.73547208193042,565.0,0.0,565.0,2963234.0,35.7,11.232,7.571,8787.58,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
Asia,32994049.0,461111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157806620.0,41098146.0,400082218.0,4639847425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
